Handle,Title,Category,Option1 Value,Option2 Value,product number,Variant Inventory Qty,Product price
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 14,Bumper Case (MagSafe),KD51823,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 14 Pro,Jelly Case,KD51824,200,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 14 Pro,Bumper Case,KD51825,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 14 Pro,Bumper Case (MagSafe),KD51826,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 14 Plus,Jelly Case,KD51827,200,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 14 Plus,Bumper Case,KD51828,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 14 Plus,Bumper Case (MagSafe),KD51829,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 14 Pro Max,Jelly Case,KD51830,200,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 14 Pro Max,Bumper Case,KD51831,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 14 Pro Max,Bumper Case (MagSafe),KD51832,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 13,Jelly Case,KD51833,0,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 13,Bumper Case,KD51834,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 13,Bumper Case (MagSafe),KD51835,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 13 Pro,Jelly Case,KD51836,0,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 13 Pro,Bumper Case,KD51837,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 13 Pro,Bumper Case (MagSafe),KD51838,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 13 Pro Max,Jelly Case,KD51839,0,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 13 Pro Max,Bumper Case,KD51840,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 13 Pro Max,Bumper Case (MagSafe),KD51841,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 12,Jelly Case,KD51842,0,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 12,Bumper Case,KD51843,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 12,Bumper Case (MagSafe),KD51844,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 12 Pro,Jelly Case,KD51845,0,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 12 Pro,Bumper Case,KD51846,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 12 Pro,Bumper Case (MagSafe),KD51847,200,19.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 12 Pro Max,Jelly Case,KD51848,0,11.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 12 Pro Max,Bumper Case,KD51849,200,16.99
warm-botanical-floral-clear-phone-case,Warm Botanical Floral Clear Phone Case,Floral,iPhone 12 Pro Max,Bumper Case (MagSafe),KD51850,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17,Jelly Case,KD51653,200,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17,Bumper Case,KD51654,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17,Bumper Case (MagSafe),KD51655,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17 Air,Jelly Case,KD51656,0,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 17 Air,Bumper Case,KD51657,200,16.99
